Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
K5         TACTILE_SWITCH_GATERON_PCB         101mm       94.54mm         101mm     92.0001mm       97.19mm       94.54mm  T          0.00 KEY0           
K4         TACTILE_SWITCH_GATERON_PCB     82.0001mm     94.5401mm     82.0001mm     92.0001mm     78.1901mm     94.5401mm  T          0.00 KEY0           
K3         TACTILE_SWITCH_GATERON_PCB          63mm       94.54mm          63mm     92.0001mm       59.19mm       94.54mm  T          0.00 KEY0           
K2         TACTILE_SWITCH_GATERON_PCB          44mm       94.54mm          44mm     92.0001mm       40.19mm       94.54mm  T          0.00 KEY0           
K1         TACTILE_SWITCH_GATERON_PCB          16mm       94.54mm          16mm          92mm       12.19mm       94.54mm  T          0.00 KEY0           
D3         0603_[1608]_K2-A1_LED    260.2498mm         105mm      260.25mm         105mm    260.9498mm         105mm  T        180.00 +3.3V          
D2         0603_[1608]_K2-A1_LED    253.9998mm         105mm         254mm         105mm    254.6998mm         105mm  T        180.00 +5V            
Y1         CRYSTAL_3.2X2.5MM_4P_SMD         272mm       47.75mm         272mm       47.75mm    272.8001mm     46.6502mm  T         90.00 8MHz           
U9         TSOP65P640X120_HS-25N      173.75mm        12.5mm      173.75mm        12.5mm       176.7mm       8.925mm  T        180.00 Led Driver     
U8         TSOP65P640X120_HS-25N      143.75mm        12.5mm      143.75mm        12.5mm       146.7mm       8.925mm  T        180.00 Led Driver     
U7         SOIC16               115.25mm       12.47mm      115.25mm       12.47mm     119.695mm       14.82mm  T        270.00 MC74HC595AD    
U6         SOT-223                 262mm       78.75mm         262mm       78.75mm       259.7mm       81.65mm  B        270.00 LM1117xxx-3.3  
U5         TSQFP50P1200X1200X160-64N         272mm       47.75mm         272mm       47.75mm       266.3mm          44mm  B        360.00 STM32F103RB    
U4         SOIC8                   283mm       37.75mm         283mm       37.75mm     281.095mm        35.3mm  T         90.00 24C128         
U3         QFN-32                 5.75mm       60.25mm        5.75mm       60.25mm         8.1mm        58.5mm  T        180.00 FT232RQ        
U2         SOT-563              276.55mm       82.65mm      276.55mm       82.65mm      277.25mm       83.15mm  B        270.00 TVS Array (WE 82400152)
R75        0603_[1608]             108mm     82.4998mm         108mm        82.5mm         108mm     83.1998mm  B        270.00 1k             
R74        0603_[1608]              94mm     82.4998mm          94mm        82.5mm          94mm     83.1998mm  B        270.00 4k7            
R73        0603_[1608]              89mm     82.5002mm          89mm        82.5mm          89mm     81.8002mm  B         90.00 1k             
R72        0603_[1608]             189mm     82.4998mm         189mm        82.5mm         189mm     83.1998mm  B        270.00 4k7            
R71        0603_[1608]             184mm     82.5002mm         184mm        82.5mm         184mm     81.8002mm  B         90.00 1k             
R70        0603_[1608]             208mm     82.4998mm         208mm        82.5mm         208mm     83.1998mm  B        270.00 4k7            
R69        0603_[1608]          202.75mm     82.5002mm      202.75mm        82.5mm      202.75mm     81.8002mm  B         90.00 1k             
R68        0603_[1608]             227mm     82.4998mm         227mm        82.5mm         227mm     83.1998mm  B        270.00 4k7            
R67        0603_[1608]             222mm     82.5002mm         222mm        82.5mm         222mm     81.8002mm  B         90.00 1k             
R66        0603_[1608]             170mm     82.4998mm         170mm        82.5mm         170mm     83.1998mm  B        270.00 4k7            
R65        0603_[1608]             165mm     82.5002mm         165mm        82.5mm         165mm     81.8002mm  B         90.00 1k             
R64        0603_[1608]              75mm     82.4998mm          75mm        82.5mm          75mm     83.1998mm  B        270.00 4k7            
R63        0603_[1608]              70mm     82.5002mm          70mm        82.5mm          70mm     81.8002mm  B         90.00 1k             
R62        0603_[1608]             132mm     82.4998mm         132mm        82.5mm         132mm     83.1998mm  B        270.00 4k7            
R61        0603_[1608]             127mm     82.5002mm         127mm        82.5mm         127mm     81.8002mm  B         90.00 1k             
R60        0603_[1608]             113mm     82.4998mm         113mm        82.5mm         113mm     83.1998mm  B        270.00 4k7            
R53        0603_[1608]          261.75mm     22.2502mm      261.75mm       22.25mm      261.75mm     21.5502mm  B         90.00 33R            
R52        0603_[1608]        247.0002mm          36mm         247mm          36mm    246.3002mm          36mm  B        360.00 33R            
R51        0603_[1608]             247mm     60.2498mm         247mm       60.25mm         247mm     60.9498mm  B        270.00 33R            
R50        0603_[1608]             260mm     65.4998mm         260mm        65.5mm         260mm     66.1998mm  B        270.00 33R            
R49        0603_[1608]          261.25mm     92.4998mm      261.25mm        92.5mm      261.25mm     93.1998mm  B        270.00 33R            
R48        0603_[1608]             243mm     94.4997mm         243mm     94.4998mm         243mm     95.1997mm  B        270.00 33R            
R47        0603_[1608]          226.25mm     91.9998mm      226.25mm          92mm      226.25mm     92.6998mm  B        270.00 33R            
R46        0603_[1608]          266.25mm    100.2498mm      266.25mm      100.25mm      266.25mm    100.9498mm  B        270.00 33R            
R45        0603_[1608]        247.0002mm        42.5mm         247mm        42.5mm    246.3002mm        42.5mm  T        360.00 33R            
R44        0603_[1608]        247.0002mm        42.5mm         247mm        42.5mm    246.3002mm        42.5mm  B        360.00 33R            
R43        0603_[1608]        250.7502mm        42.5mm      250.75mm        42.5mm    250.0502mm        42.5mm  B        360.00 33R            
R42        0603_[1608]        250.7502mm          36mm      250.75mm          36mm    250.0502mm          36mm  B        360.00 33R            
